用户id,用户名,用户头像,发布时间,性别,账户类型,是否机构号,粉丝数量,点赞数量,评论数,回答内容,影响力
2cb2626bfebaad95504955d17476c142,2022年能结婚吗,https://pic1.zhimg.com/v2-ab8cce5a0767ff7de954c1121a9cbd8b.jpg?source=1940ef5c,2022/12/17,男,people,FALSE,1735,8209,335,13年鼓励养猪，哪一年关停小养殖场来着？16年鼓励经济作物，哪一年退苗还耕来着？19年鼓励民间资本进入校外教育培训行业，哪一年双减来着？油漆干了没？哪一年鼓励小微企业，又是哪一年卡环保？哪一年招商引资，又是哪一年清退低税收企业？当某些人忘记你了，你才滋润。,8.34433238
ec2b70cb5d29237b678fd8974301e00c,害怕睡觉,https://pic1.zhimg.com/v2-d726b3364d999437027a171288fc8b35.jpg?source=1940ef5c,2022/12/16,男,people,FALSE,10193,7578,299,真有利的事情，它就不会用力推行了。比如20年开始有的疫情失业金，没有官方宣传推广。领到的人大多数在视频网站或公众号在哪看了一眼，然后到处打电话给人社局，身边的朋友去问，支付宝，人社局网站来回搜，最后才领到钱。但是养老金这事，已经多次宣传推广了，前阵子去银行有的客户经理还会稍微介绍一嘴。什么失业金，青年贷款，独生子女奖励，独生子女父母退休多几百块钱。反正凡是“好事”，都得靠自己去搜去找去问。所以虽然我不懂金融原理，也搞不懂这些产品的投资回报什么的。但是我知道，好事，轮不到我这种底层人。,8.26380157
53b449b19fc2ac6489c7f482426252d3,沙漠幼狼,https://pica.zhimg.com/v2-7fe7f06c102c09fe12ad42bc333da728.jpg?source=1940ef5c,2022/12/5,未知,people,FALSE,446,7364,639,   许家印盖房都知道封顶，贾跃亭造车都知道做一个PPT，个人养老金目前啥也没有，就说我这边有一个项目，40年期的，你要不要投。    众所周知，净资产=资产-负债，储蓄是银行对客户的负债，如果这个负债短时间内不用给付，那就相当于数十年的净资产。个人养老金制度，其本质就是长期监守个人储户现金的银行，眼红、垂涎这笔随时需要偿还的负债，想将其纳入自己口袋的一种想法。   其次，再是用这种不需要短期内偿还的固定资产，去质押，兑换出流动性，用以替代房地产作为固定资产释放的流动性。话虽然可以讲的高大上，但到了执行层面，就是对人性的考验。    社保基金的崩塌是必然，那就是国家信用的崩塌，国家信用联动到主权货币，如果国家信用崩塌，那银行信用早已崩塌。所以，交与不交的结果是相类似的。   再说一个兑付期限问题，美国的401K计划，规定了60岁就可以给付，而当前的个人养老金只有一句模糊的“依照法定退休年龄”，而不巧的是，我们刚被修改了退休年龄，我也是其中一员。他可以改一次，为什么不可以改第二次？如果还是顾虑到国家信用，那就返回上一段文字思考，这是闭环。  银行，作为一个金融中介机构，其本质应该是把A的金钱，介绍给一个合格的生产者B，它天生的职能就是这么简单。而现在的银行，他既当中介，又当裁判，捅出了窟窿还要找央行妈妈。我从来不认为房地产问题是其行业的问题，盖房子，卖房子，有什么问题！一直都是金融机构违规授信，银行缺乏对借贷出去的资金的监管出了问题，他对客户A的资金漠不关心、他对B的资质毫无用心，两头都不需要承担责任的银行，成了被宠坏的宝宝。   现在，各大银行对于开设个人养老金账户尤其的热衷，因为这个账户，就是以后的流量入口，是可以名正言顺的从自己的储户的左边口袋，合理的搬钱到自己右边口袋的过程。  结论，个人养老金制度与国家制度层面关系不大（不是没有，但是执行者有问题），是金融界的偷天换日的手法。,8.262260838
74a2a46889aa901236e7df1ff1564f31,微微蒋,https://picx.zhimg.com/v2-d054b01b05b45eb5be2ea249d421922c.jpg?source=1940ef5c,2022/11/5,未知,people,FALSE,2118,5593,183,如何判断一个政策，对作为普通老百姓的你是否有利？这里给出一条定理：凡是你一眼就能看懂的政策，就一定是对你好的政策。——因为制定者知道这是加分项，会生怕你看不懂、不了解他对你有多么好，而忽视了他的功劳。凡是你一眼看不懂的政策，就一定是对你不好的政策。——因为制定者知道你看懂了会生气，所以会设置种种弯弯绕绕作为对你的情绪缓冲，绕几下之后，你不信问问你自己，好像，就，没那么生气了？更有一些政策，你不但看不懂，还会有各路神仙进行各种分析、比较、研究；用数据、案例、专家访谈帮你建立这个政策你虽然不懂但肯定为你好的判断。这种，嗯，就可以用360度无死角、关怀体贴又周到来形容了。,7.95602533
f8a02f74be49c0bbe7804913e5668e0f,战狼兔兔,https://pic1.zhimg.com/v2-99529ca108c69768a84b0d5a9257b6e9.jpg?source=1940ef5c,2022/11/4,未知,people,FALSE,106,1854,176,我就不明白了，个人养老金，上利国家，下利你们，这么好的政策怎么就推行不下去？,6.888481324
1623bbb554dc9b220ecae8a1d2381fc7,耗子VS南瓜,https://pic1.zhimg.com/v2-943255707a6c46632aab7601edc17d7c.jpg?source=1940ef5c,2022/12/5,未知,people,FALSE,64,1719,78,这么说吧，你图它能抵扣税金或者能有利息，而人家图的却是你的本金，“历史文件不具有现实意义”，他们自己说的,6.784464302
834ca77536856945522ac8c357bba8de,右转必停,https://picx.zhimg.com/v2-78f08da085f7463128fe47a4362035f4.jpg?source=1940ef5c,2022/12/15,未知,people,FALSE,63,1553,248,1、对zf：目前的养老制度撑不下去了，zf 希望把养老这口锅甩你自己身上。哎这不“个人养老金”就来了嘛，用自己的钱给自己养老，太会玩了。锅你已经接了一半了，过阵子再出个什么政策，把另一半也甩你身上。2、对银行：长达几十年的锁定期，这笔钱就跟给了银行一样一样的，40年后想取？不好意思，政策改了一点点。另外，40年后我肯定不在这儿干行长了，后来人自己想办法兑付去吧。3、对个人：“个人养老金有必要买吗？”,6.747593921
9ad021af7534ebfe8699e5c561a2de06,凌乐,https://picx.zhimg.com/v2-2c41d74ae6e6ae2c54301f5cd17da105.jpg?source=1940ef5c,2022/12/5,男,people,FALSE,109170,1345,429,先说结论月薪低于5000，完全不值得购买；月薪5000——8000，最好不买；月薪8000——17000，购买的价值不大；月薪超过17000或者年收入超过20.4万，值得购买；月薪超过3万，性价比超高薪资越高，购买的价值越大。我之前说过，未来20年，人口老龄化将成为中国最大的灰犀牛，截止到2021年，中国65岁以上的老龄人已经达到2亿，今年将有接近2500万人成为老年人，明年则接近3000万。即便按照国际标准，从2027年起中国的老龄化进程也将加速，至2030年，中国65周岁以上人口占比将超过20%，步入所谓的超老龄化社会，未富先老将成为我们面临的头等难题，给父母养老是我们面临的第一个问题，给自己养老则是另一个严峻的话题。正是在这种背景下，11月25日，个人养老金制度正式启动实施，在36个城市和地区先行落地，终于，个人自费养老的时代要来了。这个由官方发起的个人养老金到底是个什么东西？有投资价值吗？能解决我们的养老问题吗？当前正处于信用缺失的时代，一次次由官方发起大型的融资活动告诉我们，并不是所有打着官方旗号的投资都是稳赚不赔，只要涉及到自己掏钱，一定要万分谨慎。本文，我们就来简单介绍一下这个个人养老金，到底值不值得买，顺带聊一聊当前我国的养老现状。01什么是个人养老金？个人养老金其实非常简单，就是建立一个专门用于养老的账户，你每年存进去一笔钱，上限是12000，交给机构帮你投资理财，等你60岁之后开始领取，你可以选择一次性全都领取完，也可以分批次领取。个人养老金的优势有两点第一是可以避税，因为这次是国家牵头的养老金制度，给予了税收优惠，假如你是年入百万的大佬，一年节税金额就是5400元，相当于你只花了6600就买了12000的理财，性价比超高。第二个优势是长期投资，享受复利因为养老金账户超长的封闭期，复利效果惊人，如果运气好，年化收益率达到11%，等你60岁时能够一次性领取的账户金额高达231万，足够养老了。好了，说完了优势，我要开始详细说说养老金的不足之处了，相较于吹捧，我还是更喜欢挑刺。这个个人养老金有以下四大槽点第一：市场化运营，国家没有任何风险托底这次的个人养老金制度完全是市场化运营，什么叫市场化？其实就是交给基金公司或者理财公司来经营，盈亏自负，尽管亏损的可能性不大，但不排除中途偶尔一年会亏损，就比如今年，债券价格大幅度下跌，一个月就可能跌掉3年的利润，你如果去追求更加稳妥的货币基金，那收益率就更低了，基本只有1.5的年化收益率。风险和收益率永远是矛盾体，在整体收益率下滑的背景下，养老金的累计收益率可能并没有想象中那么高，上面有张图提到的11%年化收益率大概率是痴人说梦，只是一些基金公司为了引导你开户夸大了收益，你能取得4%的年化收益就已经高得离谱了。第二、在理财收益率上国家没有任何政策扶持个人养老金最重要的其实就是投资收益率，但是在这方面没有特别明显的优势，特别是对比社保而言。社保目前是我国养老第一大支柱，有一个巨大的优势就是国家优质赚钱项目，最直接的是社保能优先购买新股，大家都知道我大A股新股经常连板，尽管近期破发频率提高，但仍然中签率很低，买到就是赚到。除了新股给社保赚钱之外，还经常划拨优质国企给社保赚钱，还有市场中的优质赚钱项目也经常有社保基金的身影，无论从哪个角度来说，社保赚钱能力远强于个人养老金。所以，社保和企业年金在投资收益率方面天然就有政策优势和官方托底，无风险收益率肯定高于普通理财产品，这是个人养老保险无论如何都办不到的。第三、锁定期有点长这个养老金账户要等到60岁之后才能领取，锁定期短则20年，长则30年，本来这个属于养老型产品，没什么值得说的，但是在没有任何收益溢价的情况下还要锁定这么久，感觉对于普通理财人来说没什么太大的优势。这次新股发行养老金买的理财产品并不是单独建立的，你自己在银行APP就能买到个人养老金同样的产品，你甚至可以自己建立一个单独的银行账户，自己买，最后收益率跟这个社保账户是一模一样，同种收益，还没有锁定期，岂不是更爽！第四、领取之时扣税3%有点坑《关于个人养老金有关个人所得税政策的公告》只说投资环节的投资收益不征收个人所得税，但没有说领取环节的投资收益是否征收个人所得税。我举个例子，我花了20年，买入了20万个人养老金。然后我放在里面25年没动，到我退休的时候，假设这20万个人养老金，变成了60万。那我取出的时候，如果是按我当初缴费20万去扣3%个人所得税，就是交6000个人所得税。如果按照60万去扣3%个人所得税，就得交18000个人所得税。这18000个人所得税，就相当于我当初缴费20万的9%，这个税率，甚至比我们直接买基金、买理财产品的税率还要高很多。你现在去看市场中各种养老型基金，只要你持有周期超过1年，赎回费率基本都是0，明显性价比更高。所以你前期避税的钱，很有可能在取出的时候全部退还。所以，整体来看，个人养老金其实就是一个理财通道，就理财收益率而言并没有明显的优势，最大的优势就是避税了，你纳税的金额多少直接决定了你是否有必要。年收入表太模糊，我直接给你换算成月收入，因为这个个人养老保险最大的价值在于节税，那这个个人养老金对于低收入人群价值就不大，只有节税金额越多，价值越大。那么从上表可以看出，薪资5000以下，完全没有购买的必要；薪资超过8000才初步具备购买的价值，相当于你用9折的钱购买了12000的理财产品，额外增加了10%的本金投入，这个比理财产品要高，薪资高于17000，购买价值就更大了。所以结论是：如果你薪资在8000—17000，具备一定的购买性价比，但考虑到超长锁定期和取现时3%的税费，可买可不买，不如自己建立一个自己理财的养老账户；如果月薪高于17000或者年收入高于20.4万，最好就购买，就当打折购买理财产品，性价比较高。好了理解了个人养老金，我们再来思考一下为什么要推出个人养老金制度？肯定就是应对社保入不敷出的状况，自从2013年开始，社保基金就已出现收支不相抵的情况，之后赤字规模逐年扩大，2019年，收支缺口1.07万亿，2020年扩大到2.35万亿，有止不住的趋势。要不是前两年转移支付和财政补贴，河北、吉林、湖北、浙江、内蒙古、山东等多个地区的社保资金早就扛不住了，而且现在人口老龄化浪潮还没有开始爆发，再过几年社保缺口将达到难以置信的高度，就算是财政补贴也只是杯水车薪。所以，自己给自己养老，已是大势所趋。所以建立这个个人养老金是因为官方希望个人提高自己的养老能力，建一个大的投资池做大资本市场，从市场中赚钱，当然这个是利好股市、基金和投资市场的，但参与的人能有多少，集合的资金有多大规模，这是一个问号，如果规模太小，恐怕又没什么价值了。最后，更多干货内容欢迎关注公众号：原来是凌乐,6.700997987
de4a9193d9ff888491ddd16b822b75ac,沈以临,https://pic1.zhimg.com/v2-c2b802e2951c486a127f0ebc7612e4aa.jpg?source=1940ef5c,2022/12/15,男,people,FALSE,1848,1281,215,第一批开通账户并购买理财的人，已经开始蚀本了,6.560018556
0,匿名用户,https://pica.zhimg.com/v2-d41c2ceaed8f51999522f903672a521f.jpg?source=1940ef5c,2022/12/15,男,people,FALSE,0,1286,36,在本朝，诸君见过40年不变的政策乎？,6.484482552
